,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,cluster_9,cluster_14,hot_or_not
02VBYrHfVwfEWXk5DXyf0T,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,242096,0,1,5,N
630sXRhIcfwr2e4RdNtjKN,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,217440,0,1,9,N
481WJtoyGNStbiiWzTUydW,0.792,0.756,6,-7.283,0,0.0431,0.224,0.0,0.0858,0.301,90.012,178562,3,2,12,N
6ZyLo7sln0QFP7YXqgXCU8,0.834,0.674,10,-5.21,0,0.0972,0.102,0.0,0.0903,0.828,137.04,252960,3,2,3,N
1Fj0T1XKuhRu7EZzJ7NJIK,0.664,0.447,0,-8.404,1,0.0341,0.577,0.0,0.0968,0.431,90.976,228461,1,0,0,N
1VJwtWR6z7SpZRwipI12be,0.689,0.516,8,-5.857,1,0.0444,0.513,0.0,0.163,0.209,124.876,190920,1,0,0,N
2A6yzRGMgSQCUapR2ptm6A,0.397,0.207,0,-13.155,1,0.0331,0.701,3.07e-05,0.116,0.268,171.282,227600,1,0,4,N
72gv4zhNvRVdQA0eOenCal,0.715,0.605,0,-5.128,0,0.0428,0.239,1.41e-05,0.189,0.454,122.956,212733,3,2,2,N
0E6PsO3ymCfUh7pJQjBgkj,0.705,0.784,2,-6.477,1,0.271,0.0133,0.0,0.168,0.377,160.035,264853,4,4,5,N
7bpYMYc6CyaMY2IK804gnu,0.704,0.73,11,-4.483,1,0.0283,0.441,0.0,0.265,0.67,104.94,180560,0,1,9,N
0erWIis2tg4LDsAwyI4tqE,0.384,0.567,8,-9.671,1,0.292,0.748,0.0,0.138,0.332,87.645,202750,1,0,4,N
24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,182200,0,1,9,N
